Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
10;05/10/22;14:45:49;14.9;76.2;8.641856e-008;1.793521e-005;;0;33.7005;171.254;409.486;518.951;674;1132.33;935.804;887.381;892.753;1042.5;994.637;909.085;937.529;903.317;900.53;916.64;818.579;1004.41;808.856;751.864;724.237;705.873;610.024;560.808;567.614;525.851;478.361;310.877;441.424;344.649;370.247;289.416;295.631;284.403;286.799;360.87;408.865;380.805;329.336;398.949;410.36;431.853;528.316;480.258;488.755;470.19;524.161;538.975;472.946;555.933;624.129;497.875;469.62;573.662;515.822;574.438;493.04;521.415;562.761;499.845;486.137;400.505;497.399;495.397;454.36;474.921;455.491;376.599;405.532;429.987;388.557;390.354;372.679;338.817;315.936;284.023;336.12;205.145;266.76;254.763;257.26;189.394;176.201;202.027;163.312;141.582;136.142;112.546;133.744;85.8159;85.7275;61.6577;69.9997;89.8842;51.5507;48.7076;82.7714;30.4792;74.2019;31.6285;34.194;41.3235;32.5623;59.1949;22.2144;280;20;FALSE;1;None;5;1;1;1;10.8955;9636.63;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;42.9591;73.6902;47.9911;15.1247;2.47415;696.822;
11;05/10/22;14:50:49;14.7;76.3;8.622870e-008;1.792553e-005;;0;33.6434;120.589;400.255;480.535;937.719;1113.19;921.644;1164.75;988.125;1132.21;1080.15;1073.04;1041.83;1075.69;1120.51;1032.31;802.072;902.019;742.831;515.747;393.642;458.293;334.159;399.73;318.823;302.721;293.646;267.844;249.15;232.646;327.71;306.981;271.366;307.61;271.673;323.352;376.473;281.956;427.948;369.287;406.19;363.005;453.529;571.285;443.043;426.033;473.676;499.158;498.625;513.274;411.074;538.816;498.489;494.664;502.203;481.597;533.28;486.95;543.415;486.866;474.244;541.362;497.878;436.363;507.965;451.556;392.12;463.751;450.199;384.991;357.433;339.135;304.146;336.45;304.48;341.007;280.578;233.506;202.086;215.877;212.764;195.567;138.734;224.147;142.125;152.846;125.656;102.329;49.4515;48.8673;73.5272;106.205;92.3229;113.927;48.3978;76.1294;42.7008;34.4164;54.2168;54.3046;23.6894;36.9885;40.9042;45.2557;49.432;280;20;FALSE;1;None;5;1;1;1;10.9131;9637.45;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;43.1225;73.5179;47.1045;16.2531;2.52221;665.923;
12;05/10/22;14:55:49;14.6;76.2;8.629229e-008;1.792069e-005;;0;33.6598;120.645;213.475;399.107;334.496;706.163;738.395;645.237;914.027;732.627;944.227;802.09;632.935;565.72;551.351;597.551;374.562;413.831;391.054;252.574;332.97;216.542;207.808;258.719;133.4;240.418;228.065;211.957;206.041;272.443;229.006;253.511;258.899;283.443;348.419;304.02;308.714;390.152;400.84;402.213;429.48;491.853;451.272;376.142;540.1;392.173;482.682;576.194;563.033;496.456;490.513;534.894;555.453;570.617;445.481;477.904;551.04;435.286;458.366;492.404;539.682;481.312;452.109;444.086;526.356;465.788;424.191;454.03;435.74;415.946;383.887;339.797;350.153;405.521;357.427;357.235;303.473;273.214;242.233;184.336;245.793;139.77;186.635;145.136;145.614;163.512;122.764;85.2002;95.0685;74.1244;103.298;68.2731;71.3777;84.6698;78.2515;63.9561;41.2172;45.3663;75.6558;51.3223;42.7953;31.6338;43.3857;60.1359;50.46;280;20;FALSE;1;None;5;1;1;1;10.9023;9632.83;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;61.6989;85.6434;56.9537;18.1056;2.50657;559.603;
13;05/10/22;15:00:49;14.6;76.1;8.633764e-008;1.792069e-005;;0;33.6726;90.5168;53.3873;168.368;164.61;67.4411;270.311;351.69;198.429;217.089;242.484;119.496;231.605;144.284;233.726;239.025;157.032;130.184;160.029;214.186;148.015;134.231;181.414;156.767;118.383;146.196;131.139;219.587;159.555;184.991;191.489;175.086;179.735;260.88;250.785;313.783;294.517;347.803;428.704;382.461;474.722;474.075;415.961;417.144;408.807;415.796;423.985;447.241;406.989;546.14;551.782;478.673;538.744;498.965;510.672;480.943;537.695;585.902;441.263;446.476;416.484;470.719;500.18;491.859;447.447;491.907;493.025;382.732;389.575;469.7;404.642;389.766;301.106;356.756;343.776;362.614;241.845;246.043;217.304;287.06;189.1;211.931;179.093;199.246;159.174;108.606;152.147;111.738;87.5402;77.5346;86.762;98.7141;42.857;64.7789;58.8693;89.5666;52.2087;43.8088;56.9475;36.0114;51.3744;48.4648;37.5007;28.6582;48.6226;280;20;FALSE;1;None;5;1;1;1;10.8967;9631.39;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;82.5484;104.325;77.2133;98.2172;2.2442;428.451;
14;05/10/22;15:05:49;14.5;76.2;8.617479e-008;1.791585e-005;;38.2697;0;0;213.616;167.849;460.32;485.41;512.723;703.776;755.882;848.448;553.052;413.068;439.441;436.046;408.144;338.002;297.454;243.169;302.145;255.664;227.423;195.581;203.384;165.474;177.964;174.195;146.923;242.16;220.416;206.778;188.577;221.457;231.377;363.253;350.294;254.485;420.172;345.302;401.544;441.224;417.625;395.449;398.057;454.574;491.194;447.969;476.177;497.269;396.706;491.504;541.143;479.732;522.449;577.137;493.018;440.011;558.129;542.739;493.023;543.404;496.665;544.851;479.295;479.112;454.76;461.788;408.977;357.796;382.257;462.76;429.418;409.46;394.127;341.175;331.626;271.808;295.021;244.896;252.582;208.075;277.826;199.537;187.052;138.364;156.826;123.701;120.536;124.321;99.971;76.0831;104.587;101.067;68.9726;81.9487;41.7078;49.5028;66.5724;70.5832;38.883;64.8064;38.8362;39.1284;83.4763;39.2233;43.3912;280;20;FALSE;1;None;5;1;1;1;10.914;9633.96;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;68.7864;91.9237;62.6691;17.4658;2.46528;513.299;
15;05/10/22;15:10:49;14.4;76.2;8.614782e-008;1.791101e-005;;0;33.6155;30.1234;106.609;72.0507;186.824;322.432;217.138;183.064;211.405;253.223;265.171;176.252;214.707;167.261;159.947;149.613;145.264;121.092;140.08;112.956;70.8773;162.332;108.997;128.578;162.2;138.383;157.228;162.373;151.529;177.353;250.143;190.711;229.622;236.23;304.434;264.77;404.574;337.157;297.343;417.766;376.792;361.656;449.528;498.812;483.937;496.635;342.516;496.777;457.798;524.73;526.233;530.833;529.407;542.267;488.102;548.713;463.654;520.576;485.965;434.185;510.444;441.473;463.952;515.442;456.937;445.403;435.651;457.252;438.426;379.78;395.66;355.623;349.258;375.161;293.855;253.01;261.993;294.391;228.1;212.899;234.837;192.747;200.456;183.151;192.82;103.268;97.8484;122.368;118.533;109.453;77.2567;84.655;75.4583;93.0043;73.7331;77.2641;49.309;34.2258;66.2062;66.8574;45.3105;46.3562;51.125;55.9758;59.7321;280;20;FALSE;1;None;5;1;1;1;10.9144;9632.21;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;83.1679;106.451;78.6001;91.3982;2.24587;425.894;
16;05/10/22;15:15:49;14.3;76.2;8.618871e-008;1.790617e-005;;0;33.6254;90.3957;106.638;288.278;360.31;362.014;413.745;521.03;482.796;429.691;457.042;317.466;262.721;377.823;226.212;249.812;216.141;173.436;191.998;200.547;173.327;126.836;199.201;135.586;201.713;116.744;150.682;179.492;163.742;157.484;237.355;201.384;285.371;238.923;279.934;292.036;338.196;340.398;334.706;406.012;361.604;436.924;382.905;475.89;435.624;429.613;423.463;541.777;459.849;450.326;481.978;457.046;573.076;479.988;435.121;517.919;485.722;456.965;477.156;522.751;531.229;470.009;494.774;464.743;418.424;414.717;459.166;451.657;484.365;410.402;446.862;405.042;348.956;347.742;329.452;313.879;275.425;326.783;228.179;187.615;238.779;177.191;184.017;159.126;146.966;120.504;106.54;102.053;99.8308;75.0554;100.676;74.1118;66.6992;85.7856;47.7794;55.1153;51.5661;30.5919;47.7457;42.8002;44.8194;61.8595;37.4936;52.7738;62.9857;280;20;FALSE;1;None;5;1;1;1;10.9063;9628.31;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;75.7175;97.4748;68.4867;82.047;2.40343;463.888;
17;05/10/22;15:20:49;14.3;76.2;8.613215e-008;1.790617e-005;;38.2513;45.8234;79.4094;186.536;319.947;648.683;443.58;507.197;632.653;440.085;374.509;305.352;281.933;284.533;198.447;160.983;233.75;156.259;88.8753;140.525;99.9714;122.088;156.373;83.434;155.956;156.075;158.483;166.822;184.231;125.014;235.903;224.082;226.33;186.483;272.91;319.739;293.896;369.923;370.395;390.057;427.286;398.259;429.521;407.862;463.591;466.727;495.024;525.748;462.292;473.596;451.929;417.562;421.309;544.436;472.786;444.508;541.924;527.894;459.777;494.204;437.24;491.228;435.664;522.027;424.703;478.598;431.34;486.54;434.56;447.154;406.218;365.182;414.894;349.532;392.419;340.537;291.997;255.143;275.482;210.362;252.212;186.621;159.445;161.099;187.595;174.151;190.334;125.731;97.0099;97.0931;82.0194;88.9914;96.6842;67.4454;57.214;80.432;36.4006;78.3934;64.0284;37.8928;45.5972;46.1254;44.5283;45.9775;53.1377;52.9563;280;20;FALSE;1;None;5;1;1;1;10.9134;9630.1;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;74.8755;97.9089;68.3111;14.5902;2.43161;463.932;
18;05/10/22;15:25:49;14.2;76.2;8.609387e-008;1.790132e-005;;13.2104;0;90.3226;26.6389;264.059;260.218;216.321;404.417;510.723;341.727;192.677;138.863;187.912;196.867;183.784;85.4537;157.434;48.3367;121.809;116.76;90.5236;148.516;104.1;142.716;83.0456;109.874;140.713;108.752;124.758;187.471;160.475;228.153;191.051;209.958;234.256;249.815;225.812;247.4;311.274;323.966;419.433;435.231;315.495;412.238;445.901;360.601;507.048;475.94;420.766;472.03;497.01;482.885;585.373;567.037;512.476;613.609;554.974;493.519;543.249;576.306;498.011;494.451;506.047;475.485;574.672;447.336;435.544;445.823;418.406;474.085;342.157;408.327;368.944;364.421;317.156;308.227;288.233;316.263;247.219;244.801;261.334;214.833;183.778;166.368;147.754;196.53;140.772;155.985;151.869;122.238;81.4173;77.245;91.763;83.6665;57.6892;71.3582;38.1622;53.4698;60.2297;60.8851;48.2464;46.6952;44.5347;35.7479;25.5707;31.482;280;20;FALSE;1;None;5;1;1;1;10.9152;9628.71;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;84.5717;104.989;77.3853;88.1683;2.27833;429.633;
19;05/10/22;15:30:49;14.3;76.2;8.616607e-008;1.790617e-005;;38.2628;0;51.0542;61.4485;216.172;238.664;295.139;268.235;260.59;222.969;201.197;219.483;225.178;118.686;198.327;138.145;105.067;130.704;165.821;134.741;79.8708;120.426;126.809;132.034;164.441;64.591;135.468;192.779;157.287;165.962;191.883;223.295;205.324;244.981;294.356;303.268;319.92;366.675;353.629;399.197;385.49;393.486;429.327;430.674;483.741;381.093;538.311;440.637;428.691;547.465;475.416;478.056;523.892;556.009;468.066;457.678;535.945;490.458;530.675;517.053;538.405;552.044;507.328;514.507;414.554;527.752;511.006;405.362;414.123;536.208;404.909;412.723;379.281;457.885;432.344;321.23;376.236;307.354;230.939;208.97;274.731;191.206;183.559;184.821;169.538;159.634;120.828;98.8029;120.496;126.548;64.7459;103.862;115.22;98.5382;94.4955;60.9322;42.7972;70.4491;43.6346;56.2358;45.2259;46.0243;45.0393;30.6757;45.5329;57.2281;280;20;FALSE;1;None;5;1;1;1;10.9091;9629.02;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;83.8096;105.758;78.3953;82.047;2.24664;439.503;
