Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
97;05/10/22;22:00:50;13.7;76.3;8.584618e-008;1.787709e-005;;38.1431;0;0;0;23.9565;0;0;0;0;14.8333;0;12.6048;0;21.8517;10.1927;17.1701;34.0141;73.322;28.6153;18.9209;80.2284;43.6573;31.7526;59.8879;58.7317;139.844;104.025;112.755;150.54;152.156;131.898;140.82;150.87;160.243;168.352;214.067;234.545;246.292;133.168;236.75;296.629;319.437;379.007;379.787;368.088;351.62;346.801;416.372;471.331;394.734;416.989;421.733;368.031;439.119;402.066;407.749;527.681;466.957;452.036;399.281;476.008;471.996;435.141;480.089;434.454;384.923;434.594;419.397;445.078;423.96;410.789;360.119;304.77;332.813;299.398;245.49;298.431;253.439;235.998;192.292;214.315;208.785;153.363;144.602;165.348;138.05;98.575;119.786;125;111.28;39.571;102.792;87.1327;72.2539;73.1368;62.5347;58.7054;86.6383;94.0754;77.3049;80.4976;26.8248;70.5794;33.2059;46.116;59.9951;280;20;FALSE;1;None;5;1;1;1;10.9313;9623.52;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.5249;123.172;99.1608;91.3982;1.92837;327.489;
98;05/10/22;22:05:50;13.8;76.2;8.595206e-008;1.788194e-005;;0;0;30.0675;0;0;0;0;0;0;0;13.7497;12.6126;11.7343;0;10.1983;8.6061;7.56663;23.3452;38.2172;4.44491;44.5924;35.1922;108.812;100.687;81.1248;68.7132;86.9419;100.78;64.115;134.178;193.085;173.608;174.92;126.709;197.224;215.165;255.489;257.644;267.963;334.416;296.208;345.901;279.58;321.337;335.536;380.416;277.969;366.698;375.942;426.048;422.72;415.748;472.997;460.488;481.756;483.68;442.749;454.209;456.652;469.123;518.265;464.759;422.848;400.487;421.464;361.475;393.798;440.21;441.196;332.591;336.617;364.83;324.215;349.759;348.293;284.276;264.426;270.871;300.368;209.707;187.592;182.817;196.416;154.839;148.735;145.641;115.584;121.948;103.387;63.9823;77.5159;81.5303;59.2342;86.7461;118.991;63.5311;61.1275;54.7722;74.4945;73.3226;51.7498;56.5141;74.8108;120.037;64.7333;67.7852;280;20;FALSE;1;None;5;1;1;1;10.921;9622.78;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;98.6574;125.219;100.516;105.545;1.92443;328.218;
99;05/10/22;22:10:50;13.9;76.2;8.597905e-008;1.788679e-005;;0;0;0;0;0;0;0;0;16.2657;14.846;13.7523;0;23.4727;0;0;46.0988;23.273;9.30436;36.7307;34.5318;3.5939;55.5555;96.2723;23.4516;58.9359;114.976;47.3461;92.7984;140.57;116.873;139.991;158.105;164.876;200.248;171.564;192.489;234.424;234.292;253.505;317.779;263.475;335.12;304.69;351.034;432.347;380.521;321.777;371.933;399.764;399.241;368.039;442.717;421.916;439.988;437.376;469.182;392.377;493.297;469.239;383.924;454.412;510.098;501.894;514.347;386.332;438.08;491.898;427.813;435.59;331.625;452.739;386.481;275.661;280.179;294.77;265.412;263.065;275.269;243.576;218.238;203.002;216.663;108.319;137.135;136.184;144.401;117.87;83.5921;83.3599;99.376;56.7815;58.3274;69.495;57.5106;93.6315;73.6154;88.8097;69.2612;76.4323;82.8928;57.0923;69.786;72.7537;54.4291;58.3708;74.2514;280;20;FALSE;1;None;5;1;1;1;10.9206;9624.53;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;99.0551;123.846;100.047;117.574;1.9043;325.073;
100;05/10/22;22:15:50;13.9;76.1;8.605810e-008;1.788679e-005;;0;0;0;26.628;0;0;0;17.8672;0;29.7061;0;25.2406;11.7413;10.9383;4.81639;13.2963;34.3682;40.222;53.1459;49.0974;53.0975;71.8525;79.329;79.3488;97.4831;94.6216;84.5108;94.1732;109.843;130.75;133.685;134.678;146.713;209.532;209.252;194.899;197.098;193.397;257.631;267.872;315.818;285.831;369.71;375.34;362.687;385.688;376.013;368.378;325.419;395.636;471.599;417.316;395.147;441.035;459.923;493.565;440.763;475.555;519.699;477.95;429.739;510.879;451.282;471.175;405.654;486.871;464.768;364.719;424.439;371.486;476.202;344.988;320.302;287.302;362.625;286.109;308.859;286.224;249.865;233.708;272.246;209.866;188.62;137.76;161.996;123.851;138.085;126.255;78.7572;80.2932;57.1427;82.3968;103.131;92.2868;75.2707;68.6532;72.8116;96.2066;64.4397;61.516;61.707;75.7702;55.4628;71.4868;71.4384;45.891;280;20;FALSE;1;None;5;1;1;1;10.9108;9622.02;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;99.5283;124.443;100.054;98.2172;1.93242;336.257;
101;05/10/22;22:20:50;13.8;76.3;8.588442e-008;1.788194e-005;;38.1579;0;0;0;0;0;0;0;0;0;0;0;11.7301;21.8566;72.3661;35.8241;52.3402;14.6163;21.388;19.6326;32.6664;41.426;59.487;83.5395;73.669;99.5482;73.3789;121.559;116.55;119.921;100.082;192.678;121.392;190.902;170.114;229.494;237.017;276.732;297.825;312.759;284.915;357.294;352.426;378.243;438.332;395.897;371.469;393.411;436.692;377.599;447.081;421.117;442.171;434.773;424.243;509.928;423.832;454.488;503.839;485.797;455.048;492.032;540.147;498.184;559.33;458.048;478.613;435.203;433.103;441.678;466.102;419.184;386.074;330.952;331.18;271.935;249.383;280.55;264.585;296.738;171.541;209.648;156.063;169.432;133.334;145.782;126.373;116.777;99.331;116.761;89.5723;89.8462;76.546;69.6652;87.9429;91.6893;101.75;91.0256;65.1417;117.97;48.9618;58.0675;62.6177;58.7021;40.053;39.8458;280;20;FALSE;1;None;5;1;1;1;10.9295;9624.92;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;100.476;123.99;100.317;121.881;1.91189;348.355;
102;05/10/22;22:25:50;13.9;76.2;8.601291e-008;1.788679e-005;;0;0;0;0;0;0;0;0;0;14.849;0;0;35.2153;10.9357;10.2016;8.52546;0;56.7287;83.1637;49.193;53.7333;99.8294;47.3635;53.5176;92.7255;74.9509;77.4449;107.772;96.5777;127.175;172.097;170.476;170.228;194.996;176.793;251.573;258.167;267.444;254.298;304.1;337.236;279.784;295.622;392.424;348.826;413.082;426.767;391.088;441.444;478.734;493.605;431.584;444.115;522.717;443;446.595;467.093;529.092;506.214;480.396;519.032;504.591;509.995;569.227;480.777;486.972;531.437;519.649;468.099;497.918;455.619;411.621;372.534;369.83;325.625;363.795;393.603;248.071;304.058;278.784;231.165;221.159;172.973;123.394;211.093;197.585;171.507;143.755;98.9707;98.713;98.1085;81.1297;103.658;77.0679;52.7192;67.751;74.1134;81.523;62.7433;103.251;50.6105;52.5322;55.0684;43.4116;49.6313;67.0677;280;20;FALSE;1;None;5;1;1;1;10.9164;9623.46;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;101.821;124.486;101.372;117.574;1.89521;363.929;
103;05/10/22;22:30:50;13.9;76.2;8.602421e-008;1.788679e-005;;0;0;0;0;0;0;0;0;16.2702;0;0;25.2359;35.2174;10.9364;10.2021;7.84969;17.0289;56.9212;58.7649;65.6938;45.5216;54.7324;54.566;56.3295;108.076;125.445;49.7649;97.3397;130.134;130.613;153.661;187.731;215.185;170.368;239.149;199.527;299.568;281.986;236.523;334.528;295.164;330.185;381.799;377.507;366.323;431.246;398.972;445.912;486.128;369.851;419.716;476.799;443.16;433.851;462.01;502.169;479.179;447.211;474.494;522.777;540.878;520.109;496.107;523.072;562.86;503.894;485.612;521.115;540.476;508.182;456.974;337.959;447.34;371.975;409.269;363.988;320.663;286.595;281.092;248.779;197.365;157.393;186.215;183.541;154.731;167.615;120.17;96.7291;103.99;87.9141;77.0087;93.7402;72.8388;78.1585;75.0503;77.7985;56.7751;74.5177;44.5785;32.5023;61.3605;51.4476;68.5195;34.0778;73.3774;59.7133;280;20;FALSE;1;None;5;1;1;1;10.915;9623.1;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;100.858;121.643;99.2834;121.881;1.8881;363.022;
104;05/10/22;22:35:50;13.8;76.2;8.597462e-008;1.788194e-005;;38.1883;0;0;0;0;21.6631;0;0;0;0;0;25.2283;11.7357;10.9333;20.3988;46.3224;70.2275;48.9413;52.7055;34.4864;39.0714;62.6602;59.6173;41.2306;79.5015;98.1203;71.8504;73.3352;131.535;119.151;129.826;143.132;116.069;207.589;157.102;308.166;245.685;210.992;305.225;294.052;345.005;336.386;396.245;417.266;409.651;451.382;465.157;427.592;447.938;482.295;478.683;505.387;488.187;468.526;435.757;484.314;524.879;407.586;545.701;531.824;538.108;537.867;501.58;586.601;521.52;618.171;472.377;606.144;480.02;478.052;464.342;341.676;388.097;403.872;349.517;400.267;367.328;275.329;272.373;227.181;254.141;219.465;166.804;207.963;197.914;186.251;127.2;113.78;72.3829;92.2015;77.6358;76.4202;73.0786;63.2614;41.478;71.4803;72.7862;61.3929;46.9158;35.0698;25.8343;39.528;30.2533;34.0757;42.0558;31.4682;280;20;FALSE;1;None;5;1;1;1;10.9182;9622.06;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;100.121;119.075;98.4199;126.346;1.86175;368.996;
105;05/10/22;22:40:50;13.8;76.2;8.594078e-008;1.788194e-005;;0;0;0;0;0;0;19.6422;0;16.2612;14.8421;41.2465;25.2236;23.4672;32.7943;10.1977;55.7628;60.8341;71.9941;37.9533;42.4073;64.9141;63.5185;33.6786;70.8229;109.685;103.937;102.173;82.0709;91.5892;160.921;167.43;160.503;138.263;206.746;264.906;274.339;297.357;251.888;284.545;291.058;384.963;426.63;321.652;407.425;375.899;419.685;404.983;443.244;470.132;414.105;538.631;520.056;460.394;521.795;452.473;432.663;483.66;531.803;467.079;535.478;525.712;509.85;469.351;536.638;450.99;512.049;462.313;511.722;447.234;423.011;471.711;374.554;435.403;409.388;413.363;287.268;298.875;298.276;286.565;267.318;238.205;157.066;159.541;168.388;118.53;125.802;115.517;61.6696;82.2111;109.535;67.1347;82.8609;86.044;63.5084;82.1495;58.3193;81.0795;41.9979;48.9161;35.9291;32.5814;36.2324;42.0617;79.1505;70.4953;24.7069;280;20;FALSE;1;None;5;1;1;1;10.9224;9623.13;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.4196;117.569;95.8085;73.6525;1.89672;364.796;
106;05/10/22;22:45:50;13.9;76.3;8.586636e-008;1.788679e-005;;0;0;0;0;0;0;0;0;0;14.836;0;12.607;0;0;40.777;27.8684;24.9727;39.5183;59.1585;28.6086;59.2051;52.7628;103.003;116.072;99.3348;52.2441;115.418;132.35;82.0687;149.655;168.377;212.074;193.441;220.205;231.959;268.724;220.86;242.589;336.899;323.797;350.378;325.952;369.064;418.284;374.805;423.001;392.231;469.362;511.345;446.248;460.041;462.764;488.566;501.867;528.368;492.845;526.137;526.41;561.621;535.967;473.545;474.679;574.22;521.691;421.356;441.927;454.939;481.448;465.378;479.119;397.549;415.004;396.489;346.569;325.057;332.494;299.433;273.048;264.146;248.958;210.04;226.717;142.583;198.335;157.425;123.718;127.184;104.472;84.6398;55.0606;70.3035;59.9316;84.3154;43.5248;51.8322;58.0241;36.8411;57.7606;42.7254;64.0353;55.146;26.3484;37.8506;29.7724;69.5918;28.2337;280;20;FALSE;1;None;5;1;1;1;10.9347;9628.1;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.6203;116.359;95.6937;113.419;1.86244;361.377;
107;05/10/22;22:50:50;13.8;76.1;8.603110e-008;1.788194e-005;;0;0;0;0;0;0;0;0;0;29.7003;0;12.6181;35.2177;0;40.8089;46.0809;15.8257;31.1282;21.6399;78.9507;45.1374;54.9802;101.849;52.595;78.1171;117.099;129.328;134.682;104.265;122.209;170.333;179.513;190.979;222.541;211.673;226.447;226.536;303.801;328.307;316.627;413.258;318.468;368.52;499.564;450.367;459.484;416.149;478.285;489.837;487.453;501.813;474.896;469.685;470.964;467.322;574.268;489.42;497.834;543.718;560.887;456.38;456.417;522.747;467.787;494.844;460.458;439.965;449.822;415.377;423.171;401.597;383.478;385.416;313.587;285.553;375.67;310.804;326.552;230.967;241.99;246.98;234.411;216.672;154.761;125.119;161.421;149.438;104.667;98.4653;73.7964;62.1877;31.2105;84.7563;40.8219;46.268;54.1749;43.302;35.988;46.3088;51.3094;26.1676;51.446;41.6284;27.2625;21.4635;34.7097;280;20;FALSE;1;None;5;1;1;1;10.9112;9620.27;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;93.9318;114.723;94.4842;88.1683;1.86122;362.008;
108;05/10/22;22:55:50;13.8;76.3;8.585064e-008;1.788194e-005;;0;0;0;0;0;0;0;0;0;0;27.4835;12.6055;23.456;32.7792;30.5796;4.75279;55.0426;38.6942;30.7798;55.4042;57.5446;50.3354;89.3202;63.7154;128.779;124.049;85.733;93.9637;112.034;132.84;236.761;138.383;182.415;238.391;316.886;273.452;278.514;309.032;361.724;287.714;401.223;405.515;389.392;385.391;461.547;481.783;441.591;422.77;529.741;442.656;477.812;526.475;507.288;516.479;484.991;510.886;509.813;441.129;451.531;525.281;539.874;471.189;536.46;482.023;463.03;538.362;470.955;414.054;451.969;481.748;431.677;392.784;367.187;292.123;313.405;306.879;257.009;259.485;254.526;218.677;230.373;228.365;190.236;169.647;134.131;176.349;131.465;99.8354;114.346;94.4854;49.1676;84.8964;67.6155;69.0011;54.7827;48.4618;42.4518;39.899;21.8906;25.2559;29.3075;23.0543;30.2485;17.0351;13.9181;31.7623;280;20;FALSE;1;None;5;1;1;1;10.9337;9625.99;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;92.462;112.626;93.0374;105.545;1.85452;364.81;
109;05/10/22;23:00:50;13.8;76.1;8.603110e-008;1.788194e-005;;0;0;0;0;0;0;0;0;0;24.3953;4.91414;0;0;32.8094;30.6067;26.9915;36.7962;61.3286;53.0564;70.422;87.6976;85.6548;57.2213;73.0166;116.116;119.318;122.909;161.113;113.441;173.933;157.447;201.149;183.898;222.807;158.364;256.417;266.637;293.749;346.291;334.915;302.73;392.367;419.846;374.427;373.331;468.269;423.898;512.055;437.69;472.956;449.902;506.448;447.391;511.622;503.993;512.85;426.298;536.628;525.746;502.678;498.293;474.485;453.869;492.408;419.611;446.131;513.632;461.269;382.213;348.823;363.93;413.139;416.099;409.571;339.84;330.499;264.156;340.478;264.922;260.966;199.268;233.405;168.039;165.015;168.107;141.238;130.72;112.854;70.8114;79.1483;22.0824;67.1427;42.6559;51.4592;87.5437;33.325;33.3628;56.9549;42.062;28.6956;25.8362;36.2366;20.1703;10.2234;31.9045;41.7696;280;20;FALSE;1;None;5;1;1;1;10.9112;9620.27;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;93.5486;113.358;93.2801;94.7464;1.86903;358.889;
110;05/10/22;23:05:50;13.9;76.2;8.594521e-008;1.788679e-005;;0;0;0;0;0;21.6595;0;0;0;0;0;12.6125;11.7342;32.7959;30.5946;17.8219;24.6798;14.3373;20.9747;37.9606;39.9668;81.0539;63.534;107.361;81.7327;91.8884;134.051;136.761;137.903;174.093;139.683;187.059;186.748;193.752;223.604;267.913;239.43;281.134;315.555;275.726;373.329;355.601;506.032;338.705;406.165;462.815;439.935;506.199;444.571;456.311;414.352;458.883;483.896;508.124;524.347;508.577;492.627;436.012;524.457;507.881;557.173;501.637;507.082;472.962;536.927;519.844;484.411;511.261;496.357;378.542;435.581;403.215;427.676;337.499;334.442;331.026;274.283;265.382;250.373;242.86;213.114;211.642;209.52;162.467;153.398;149.935;98.5638;120.295;72.746;52.9204;69.1002;83.3517;74.7269;51.7573;58.5171;62.5429;37.3492;57.352;40.6589;53.9085;26.1253;36.2327;31.1141;29.7933;38.2794;36.3193;280;20;FALSE;1;None;5;1;1;1;10.9248;9625.6;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.8249;115.509;95.2973;105.545;1.85575;363.019;
111;05/10/22;23:10:50;13.8;76.2;8.595206e-008;1.788194e-005;;0;0;0;0;0;0;0;0;0;0;0;25.2251;11.7343;21.8641;50.9914;17.3582;39.984;57.3976;70.6003;33.5153;25.2398;61.706;77.0085;61.9641;91.3756;126.528;129.031;95.6604;117.25;164.474;117.37;176.876;172.585;221.122;206.69;208.561;310.028;297.383;336.373;311.805;374.054;310.716;258.685;395.001;386.62;360.905;483.419;464.8;459.163;401.794;403.282;464.145;579.374;474.284;468.582;450.258;523.342;514.11;586.064;473.577;542.179;575.555;509.951;497.688;524.543;495.469;488.503;435.015;436.253;485.632;396.207;438.304;352.229;320.176;400.271;289.623;337.171;332.111;261.726;245.742;231.007;181.719;158.9;172.113;162.6;130.526;149.763;115.119;100.481;83.5924;58.0314;78.5782;48.6037;55.5997;63.8842;66.0155;52.0295;51.7026;49.4735;48.4007;28.0478;43.8561;40.3366;67.2695;35.6983;56.4736;280;20;FALSE;1;None;5;1;1;1;10.921;9622.78;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;97.5178;118.091;96.8156;98.2172;1.87464;361.938;
112;05/10/22;23:15:50;13.8;76.2;8.598591e-008;1.788194e-005;;38.1921;33.5598;0;0;0;0;0;0;0;9.74499;18.4778;0;23.4729;21.8679;0;27.5833;25.2607;72.6631;51.093;57.6362;45.1211;61.6188;50.0629;96.9603;105.533;74.6794;96.6102;153.901;125.989;151.942;170.779;176.678;237.225;154.467;198.781;223.821;288.239;195.638;316.286;324.571;269.376;380.584;315.859;351.27;439.241;416.051;408.414;463.559;461.989;463.618;434.717;479.347;463.573;530.145;443.1;430.781;449.075;492.598;500.599;526.535;507.314;528.943;536.147;515.855;506.09;469.888;515.644;399.591;409.801;455.547;384.755;400.03;379.838;372.139;309.937;333.7;303.265;230.782;257.067;231.38;239.567;169.417;200.242;164.768;159.875;135.05;119.363;140.531;82.2875;83.0862;52.6463;85.0507;74.1677;55.6694;55.5941;77.4381;40.3284;78.8991;49.4577;29.2918;35.5227;55.9988;30.2538;30.6685;42.3497;31.1712;280;20;FALSE;1;None;5;1;1;1;10.9168;9621.7;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.7352;116.888;95.5593;113.419;1.89125;354.926;
113;05/10/22;23:20:50;13.7;76.2;8.594762e-008;1.787709e-005;;0;0;0;0;0;0;0;0;0;0;27.4979;0;35.2012;0;0;52.8583;10.5459;45.0873;62.7858;48.5964;64.2278;51.2549;37.9374;52.2527;82.9429;56.1108;109.76;184.374;111.124;151.473;197.182;116.624;210.925;233.894;207.674;253.982;238.291;287.4;294.908;305.771;270.265;369.178;368.629;463.208;369.157;362.435;389.781;453.166;472.094;472.869;531.829;408.071;447.738;433.345;451.874;473.875;487.554;461.058;435.379;459.464;416.019;456.831;442.892;477.277;423.472;423.639;457.413;489.27;450.312;482.979;386.327;383.594;394.063;338.668;289.719;298.696;277.479;247.531;211.095;156.751;160.951;187.887;195.117;160.918;158.546;114.5;133.293;110.353;78.1062;94.6986;64.0408;89.5205;80.0912;65.4251;78.7492;42.1854;27.2939;46.0431;58.2921;61.1488;67.893;43.3365;37.8363;43.4237;24.6566;33.5122;280;20;FALSE;1;None;5;1;1;1;10.9186;9620.31;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.4107;116.842;95.423;73.6525;1.88049;341.773;
114;05/10/22;23:25:50;13.7;76.2;8.591378e-008;1.787709e-005;;0;0;0;0;0;0;0;35.6984;0;0;13.7463;0;14.7156;51.8681;0;46.6009;51.8925;40.2105;45.3576;34.5916;59.2913;46.104;44.773;46.6608;55.9975;76.2222;104.024;92.8075;102.516;112.995;165.534;201.817;246.502;223.368;180.416;274.48;252.184;219.614;257.638;380.971;315.553;363.814;430.121;380.768;408.485;372.011;393.329;497.682;443.131;446.553;485.091;489.384;455.864;482.999;514.5;488.779;473.576;482.012;445.235;527.332;501.633;561.569;530.355;524.493;452.281;476.48;448.675;431.46;381.55;423.044;446.873;374.554;408.66;325.472;258.918;280.232;255.952;237.351;224.539;258.772;221.562;189.591;173.368;167.047;115.666;132.802;121.864;91.0007;109.633;119.243;88.7181;94.12;80.352;78.0779;49.7374;65.5183;57.6178;37.2991;51.5953;39.3729;40.9912;30.6497;50.4183;26.3842;46.1302;36.3178;280;20;FALSE;1;None;5;1;1;1;10.9229;9621.38;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.3792;116.81;95.7582;109.411;1.8715;351.449;
115;05/10/22;23:30:50;13.7;76.2;8.594762e-008;1.787709e-005;;0;0;0;0;0;21.6581;0;0;0;0;0;0;35.2012;10.9315;30.5934;65.4017;49.8599;58.8929;92.1108;34.6614;73.2214;48.0949;51.3403;58.2436;90.7264;95.5259;68.1908;121.494;134.84;109.806;173.129;188.556;182.072;257.379;220.509;281.687;232.113;265.207;272.625;322.102;301.325;300.411;411.528;350.225;375.801;365.191;424.719;440.558;479.532;462.764;432.352;453.931;549;467.946;430.229;527.36;541.296;503.943;503.458;468.689;452.944;496.817;531.979;476.162;493.335;475.945;416.885;501.308;391.271;377.853;356.501;442.85;395.681;300.349;267.226;295.423;291.956;258.349;275.889;196.31;247.459;246.617;154.262;183.622;155.001;158.616;102.369;137.727;68.446;85.9349;68.6607;93.2884;59.0339;50.7975;52.184;56.3044;67.5047;46.0431;68.2412;42.0219;67.8127;29.645;40.3364;26.3803;21.7777;50.4377;280;20;FALSE;1;None;5;1;1;1;10.9186;9620.31;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;95.0726;116.846;95.4265;79.1476;1.88754;351.75;
116;05/10/22;23:35:50;13.7;76.1;8.603800e-008;1.787709e-005;;0;0;0;0;0;0;0;0;0;0;13.7561;12.6182;0;54.6828;35.5136;22.6808;31.1424;67.3881;53.2188;70.3957;85.2243;96.4534;106.327;43.1909;105.392;98.9859;100.367;137.072;105.366;174.567;184.991;187.347;169.319;216.733;192.358;309.269;319.095;246.524;297.558;289.031;311.155;383.029;426.068;417.276;442.195;434.394;451.682;420.416;430.396;525.452;462.276;475.487;462.116;469.05;410.014;496.702;496.864;529.84;493.134;421.24;408.679;450.975;477.646;454.783;517.336;430.905;429.458;413.133;428.705;404.212;388.464;416.327;334.167;364.133;302.774;329.585;309.158;263.489;230.361;227.101;187.996;204.873;220.927;175.654;151.888;180.077;106.287;98.7763;82.2066;101.773;65.8103;57.8552;69.001;71.8421;76.1558;66.0956;42.4621;55.5744;49.7254;12.7537;48.4433;36.2369;44.5439;33.9554;47.9797;35.2999;280;20;FALSE;1;None;5;1;1;1;10.9074;9617.44;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;93.1001;115.418;93.848;94.7464;1.89826;354.546;
117;05/10/22;23:40:50;13.7;76.0;8.608326e-008;1.787709e-005;;0;0;0;0;0;0;0;0;32.5502;14.8543;13.7597;25.2426;11.7422;21.8782;14.9075;23.2427;33.5975;47.8481;12.4461;41.8429;58.1403;23.5496;88.192;76.5006;104.294;71.6937;136.195;136.745;170.639;123.033;130.763;181.188;228.038;216.473;283.777;261.918;326.299;266.967;278.514;324.308;335.02;288.909;358.202;416.357;419.098;515.707;461.77;469.734;492.84;380.442;426.92;405.13;465.475;500.978;422.241;525;430.451;391.775;585.117;444.761;535.516;532.089;532.915;493.985;435.864;421.736;452.002;401.922;524.71;434.043;384.993;386.933;391.528;341.119;332.444;307.752;278.546;273.507;267.643;248.071;213.007;195.761;211.817;165.748;150.146;149.93;113.12;115.106;96.4313;76.468;91.2106;104.273;109.579;73.1252;64.3803;67.1584;62.0416;49.1212;58.7969;51.6682;37.6433;37.3749;43.7053;51.1206;31.325;31.7717;280;20;FALSE;1;None;5;1;1;1;10.9017;9616.01;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;96.3592;117.69;95.7696;98.2172;1.89608;358.535;
118;05/10/22;23:45:50;13.7;76.2;8.585744e-008;1.787709e-005;;0;0;0;0;0;0;0;0;32.5045;0;13.7418;25.2112;3.2399;7.90804;56.6862;22.3787;51.3178;47.7058;68.4798;78.6297;45.7084;47.6805;69.1999;103.705;128.726;63.0064;141.433;142.046;130.183;135.016;143.59;204.966;167.68;163.894;229.95;279.346;285.947;267.393;273.882;297.802;383.877;350.501;327.654;432.805;366.596;408.66;417.793;453.412;471.99;479.649;400.54;454.907;449.919;471.436;425.98;503.944;529.742;502.144;524.955;537.738;445.157;547.055;504.504;476.912;507.464;479.178;471.319;477.388;399.691;386.392;380.135;339.182;358.011;278.786;236.172;282.831;290.938;232.653;197.567;220.484;212.621;202.348;177.258;169.37;129.802;106.9;131.219;91.7112;94.3378;54.9128;73.4631;97.7675;85.4238;74.7006;66.5158;73.325;66.6234;46.0268;39.5913;64.2822;51.6608;41.606;28.1221;61.327;41.7546;31.7626;280;20;FALSE;1;None;5;1;1;1;10.9299;9623.17;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.2018;115.772;94.0218;109.411;1.89837;350.773;
119;05/10/22;23:50:50;13.8;76.1;8.606502e-008;1.788194e-005;;0;33.5822;0;0;0;0;0;0;0;29.7063;27.5173;0;23.4827;32.8151;20.4079;37.1432;34.0317;47.885;92.0036;41.0679;64.1527;63.4871;20.1032;76.1737;95.4825;73.3351;107.389;135.039;142.691;157.927;177.881;180.702;169.389;235.713;206.028;225.296;265.178;303.756;251.78;289.851;333.143;382.33;374.751;388.137;405.924;403.936;483.145;445.601;367.179;445.636;484.725;420.232;425.778;447.3;433.982;505.916;472.026;489.353;429.263;514.499;416.703;450.122;443.14;508.621;510.713;484.949;417.084;501.927;429.462;418.343;439.563;313.755;412.795;363.609;368.872;356.545;257.003;209.374;216.509;180.328;208.469;186.281;229.257;149.147;140.474;114.672;118.914;109.144;67.9129;53.9301;87.0448;78.1013;84.7268;60.9884;70.2314;37.3837;37.7612;36.8401;43.7932;35.0739;38.2061;23.6216;60.5137;36.5908;36.0089;38.0799;280;20;FALSE;1;None;5;1;1;1;10.9069;9619.2;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.5875;115.243;94.0977;101.815;1.89239;346.819;
120;05/10/22;23:55:50;13.7;76.1;8.599279e-008;1.787709e-005;;0;0;0;0;0;0;0;0;0;29.6925;0;25.23;35.2096;43.7361;10.2001;26.6571;42.5684;31.0324;75.2731;80.9335;90.7949;67.4802;82.8588;66.8516;118.467;143.855;129.632;139.875;188.863;154.144;146.932;198.9;172.714;218.984;199.824;242.584;225.18;277.892;275.544;290.861;335.713;347.637;350.795;412.542;356.085;443.225;446.533;421.302;444.529;475.667;483.672;462.123;502.478;441.806;503.538;474.659;439.034;386.588;488.932;455.278;485.949;545.936;519.715;425.931;478.393;455.481;463.157;484.994;440.014;434.534;438.99;464.715;311.21;306.128;376.121;327.145;281.103;277.743;198.613;249.954;201.156;171.934;175.421;150.124;159.23;151.187;105.055;82.7512;84.0335;93.0757;83.2872;77.2897;72.3794;78.4041;70.5276;51.1614;49.4178;53.0021;68.4159;30.4989;32.2936;71.2194;44.9761;36.5981;56.5872;52.9468;280;20;FALSE;1;None;5;1;1;1;10.913;9618.88;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;94.9486;116.784;94.5023;109.411;1.91405;355.839;
